                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1928,                0.80485,                 1.7363,                0.72597,                0.59615,                0.69674,                 0.2953,                  2.283,                 1.2575,                 2.9848,              0.0006536,              0.0006536,              0.0006536
                      1,                 1.5643,                 1.8757,                 2.0362,                0.02047,                0.53846,                0.01698,                0.00537,                 2.8065,                 38.157,                 4.2377,             0.00066111,             0.00066111,             0.00066111
                      2,                 1.8639,                 2.1393,                 2.2836,                0.20133,                0.23077,                0.11951,                0.03496,                    nan,                    nan,                    nan,              0.0013146,              0.0013146,              0.0013146
                      3,                 1.9128,                 2.1218,                 2.2463,                0.03836,                0.13462,                0.01101,                0.00267,                 3.9259,                 6.9263,                 6.7677,               0.001955,               0.001955,               0.001955
                      4,                 1.8858,                  2.259,                 2.2454,                 0.0493,                0.15385,                0.03097,                0.00734,                 3.0914,                  3.629,                 4.0177,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7717,                 1.9652,                 2.1703,                0.05515,                0.21154,                0.02597,                0.00613,                 3.3312,                 12.283,                 4.3923,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7344,                 1.8039,                 2.1036,                0.01221,                0.59615,                0.01125,                0.00332,                 2.7754,                    inf,                 6.7323,               0.001901,               0.001901,               0.001901
                      7,                 1.5961,                 1.6823,                  1.991,                0.09955,                    0.5,                0.08542,                0.01963,                 2.6783,                 6.9997,                 3.9647,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5323,                 1.5465,                 1.9613,                0.29372,                0.36538,                 0.2293,                0.06805,                 2.4821,                 4.6932,                 3.7014,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5744,                 1.5578,                 2.0356,                0.64113,                0.41242,                0.41091,                0.11549,                  2.531,                 3.1274,                 3.9556,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6268,                 1.6174,                 2.0116,                0.07019,                0.53846,                0.05547,                0.01798,                 2.4303,                 3.8724,                  3.393,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4847,                  1.499,                 1.9222,                0.49279,                0.52321,                0.42577,                0.14322,                 2.5682,                 2.2464,                 3.6382,               0.001802,               0.001802,               0.001802
                     12,                 1.4318,                 1.4016,                 1.8343,                0.52372,                0.46154,                 0.4949,                0.19374,                 2.4201,                 1.8903,                 3.4594,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.408,                 1.3431,                 1.8428,                0.46021,                0.36538,                0.31885,                0.11592,                 2.3946,                  2.074,                 3.2938,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4629,                 1.3603,                 1.8694,                0.56877,                0.53275,                0.51141,                 0.1761,                 2.4968,                    1.9,                 3.3236,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3243,                 1.2725,                 1.7558,                0.61129,                0.55769,                0.52554,                0.20727,                 2.4142,                 2.3631,                   3.59,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3303,                 1.2445,                 1.7426,                0.46315,                0.49775,                 0.3422,                0.09589,                 2.5263,                 2.2569,                 3.3377,               0.001703,               0.001703,               0.001703
                     17,                 1.3263,                  1.259,                 1.7508,                0.65435,                0.48077,                0.50217,                0.15817,                 2.4293,                 2.0946,                 3.4061,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2374,                 1.1277,                 1.6704,                0.57801,                0.53846,                0.48132,                0.15806,                    2.6,                 1.9382,                 3.7014,              0.0016634,              0.0016634,              0.0016634
